-gram,-grams,复数
-ism,-isms,复数
A level,A levels,复数
A-bomb,A-bombs,复数
A-road,A-roads,复数
A-side,A-sides,复数
Afghan,Afghans,复数
African,Africans,复数
Afrikaner,Afrikaners,复数
Afro,Afros,复数
Alsatian,Alsatians,复数
American,Americans,复数
American Indian,American Indians,复数
Americanism,Americanisms,复数
Americanize,Americanized,过去式
Americanize,Americanized,过去分词
Americanize,Americanizing,现在分词
Americanize,Americanizes,第三人称单数
Amerindian,Amerindians,复数
Anglican,Anglicans,复数
Anglicize,Anglicized,过去式
Anglicize,Anglicized,过去分词
Anglicize,Anglicizing,现在分词
Anglicize,Anglicizes,第三人称单数
Anglo-Catholic,Anglo-Catholics,复数
Anglo-Indian,Anglo-Indians,复数
Anglo-Saxon,Anglo-Saxons,复数
Anglophile,Anglophiles,复数
April,Aprils,复数
Arab,Arabs,复数
Arabian,Arabians,复数
Arabist,Arabists,复数
Asian,Asians,复数
Aussie,Aussies,复数
Australian,Australians,复数
Autocue,Autocues,复数
Bantu,Bantus,复数
Baptist,Baptists,复数
Benedictine,Benedictines,复数
Boer,Boers,复数
Bolshevik,Bolsheviks,复数
Boy Scout,Boy Scouts,复数
Brit,Brits,复数
Britisher,Britishers,复数
Briton,Britons,复数
Brussels sprout,brussels sprouts,复数
Buddhist,Buddhists,复数
Burgundy,Burgundies,复数
Bushman,Bushmen,复数
Caesarean,Caesareans,复数
Calvinist,Calvinists,复数
Camembert,Camemberts,复数
Canadian,Canadians,复数
Cancer,Cancers,复数
Capricorn,Capricorns,复数
Catherine wheel,Catherine wheels,复数
Caucasian,Caucasians,复数
Celt,Celts,复数
Chancellor of the Exchequer,Chancellors of the Exchequer,复数
Chief Constable,Chief Constables,复数
Christ,Christs,复数
Christian,Christians,复数
Christian name,Christian names,复数
Christmas,Christmases,复数
Christmas cake,Christmas cakes,复数
Christmas card,Christmas cards,复数
Christmas pudding,Christmas puddings,复数
Christmas tree,Christmas trees,复数
Cinderella,Cinderellas,复数
Cornish pasty,Cornish pasties,复数
Czech,Czechs,复数
Czechoslovak,Czechoslovaks,复数
Dalmatian,Dalmatians,复数
Danish pastry,Danish pastries,复数
December,Decembers,复数
Don Juan,Don Juans,复数
Druid,Druids,复数
Dutchman,Dutchmen,复数
Easter,Easters,复数
Easter egg,Easter eggs,复数
Elastoplast,Elastoplasts,复数
English breakfast,English breakfasts,复数
Englishman,Englishmen,复数
Epiphany,Epiphanies,复数
Eskimo,Eskimos,复数
Esquire,esquires,复数
Eurasian,Eurasians,复数
Eurocrat,Eurocrats,复数
European,Europeans,复数
Excellency,Excellencies,复数
February,Februaries,复数
Ferris wheel,Ferris wheels,复数
Finn,Finns,复数
Freemason,Freemasons,复数
French,Frenches,复数
French Canadian,French Canadians,复数
French bean,French beans,复数
